,latitude,longitude,borough,zipcode,spc_latin,tree_diameter,wires,sidew_crack_raise,latBin,lonBin,lonDistance,latDistance,avg_health_round,avg_health,landuseavg,numfloorsavg
136,40.74617675,-73.99469123,Manhattan,10001,pyrus calleryana,5,0,0,40.746,-73.995,8.607999998844207e-05,0.0004154300000038802,3.0,2.8333333333333335,4.0,14.0
137,40.74533401,-73.99270279,Manhattan,10001,pyrus calleryana,3,1,1,40.745,-73.993,0.00019944000000293727,0.0004906500000032565,3.0,2.857142857142857,5.0,10.0
138,40.74533126,-73.99265227,Manhattan,10001,gleditsia triacanthos,3,0,1,40.745,-73.993,0.00019944000000293727,0.0004906500000032565,3.0,2.857142857142857,5.0,10.0
139,40.74540264,-73.99286519,Manhattan,10001,robinia pseudoacacia,3,1,0,40.745,-73.993,0.00019944000000293727,0.0004906500000032565,3.0,2.857142857142857,5.0,10.0
140,40.74533126,-73.99265227,Manhattan,10001,gleditsia triacanthos,3,0,1,40.745,-73.993,0.00019944000000293727,0.0004906500000032565,3.0,2.857142857142857,5.0,10.0
141,40.74540264,-73.99286519,Manhattan,10001,gleditsia triacanthos,2,0,0,40.745,-73.993,0.00019944000000293727,0.0004906500000032565,3.0,2.857142857142857,5.0,10.0
142,40.74816676,-73.99640899,Manhattan,10001,quercus palustris,15,0,0,40.748,-73.9965,0.0007467300000030264,0.00017620999999934384,2.0,2.4444444444444446,5.0,5.0
143,40.74816676,-73.99640899,Manhattan,10001,quercus palustris,15,0,0,40.748,-73.9965,0.0007467300000030264,0.00017620999999934384,2.0,2.4444444444444446,5.0,5.0
144,40.74816676,-73.99640899,Manhattan,10001,quercus palustris,13,0,0,40.748,-73.9965,0.0007467300000030264,0.00017620999999934384,2.0,2.4444444444444446,5.0,5.0
145,40.74816676,-73.99640899,Manhattan,10001,quercus palustris,16,0,0,40.748,-73.9965,0.0007467300000030264,0.00017620999999934384,2.0,2.4444444444444446,5.0,5.0
146,40.74816676,-73.99640899,Manhattan,10001,quercus palustris,16,0,0,40.748,-73.9965,0.0007467300000030264,0.00017620999999934384,2.0,2.4444444444444446,5.0,5.0
147,40.74816676,-73.99640899,Manhattan,10001,quercus palustris,16,0,0,40.748,-73.9965,0.0007467300000030264,0.00017620999999934384,2.0,2.4444444444444446,5.0,5.0
148,40.74776,-73.996694,Manhattan,10001,platanus acerifolia,14,0,0,40.748,-73.9965,0.000194000000007577,0.00023999999999801958,2.0,1.8333333333333333,5.0,5.0
149,40.747814,-73.996654,Manhattan,10001,platanus acerifolia,12,0,0,40.748,-73.9965,0.0001540000000090913,0.00018599999999935335,2.0,1.8333333333333333,5.0,5.0
150,40.747814,-73.996654,Manhattan,10001,platanus acerifolia,12,0,0,40.748,-73.9965,0.0001540000000090913,0.00018599999999935335,2.0,1.8333333333333333,5.0,5.0
151,40.748173,-73.996391,Manhattan,10001,platanus acerifolia,12,0,0,40.748,-73.9965,0.0001089999999948077,0.00017300000000375348,2.0,1.8333333333333333,5.0,5.0
152,40.748173,-73.996391,Manhattan,10001,platanus acerifolia,12,0,0,40.748,-73.9965,0.0001089999999948077,0.00017300000000375348,2.0,1.8333333333333333,5.0,5.0
153,40.748173,-73.996391,Manhattan,10001,platanus acerifolia,12,0,0,40.748,-73.9965,0.0001089999999948077,0.00017300000000375348,2.0,1.8333333333333333,5.0,5.0
154,40.748173,-73.996391,Manhattan,10001,platanus acerifolia,13,0,0,40.748,-73.9965,0.0001089999999948077,0.00017300000000375348,2.0,1.8333333333333333,5.0,5.0
155,40.748173,-73.996391,Manhattan,10001,platanus acerifolia,13,0,0,40.748,-73.9965,0.0001089999999948077,0.00017300000000375348,2.0,1.8333333333333333,5.0,5.0
156,40.74776,-73.996694,Manhattan,10001,platanus acerifolia,14,0,0,40.748,-73.9965,0.000194000000007577,0.00023999999999801958,2.0,1.8333333333333333,5.0,5.0
157,40.74776,-73.996694,Manhattan,10001,platanus acerifolia,14,0,0,40.748,-73.9965,0.000194000000007577,0.00023999999999801958,2.0,1.8333333333333333,5.0,5.0
158,40.748173,-73.996391,Manhattan,10001,platanus acerifolia,13,0,0,40.748,-73.9965,0.0001089999999948077,0.00017300000000375348,2.0,1.8333333333333333,5.0,5.0
